cov_top_code,cov_top_label,size,level,run,layer,mode,reference
0.8561471702241552,0.7919351218166822,64,3,2,codebook,trained,word
0.9000477122887751,0.5790588787804948,64,3,2,codebook,random,phoneme
0.7745554753166519,0.8232892997074888,64,3,2,codebook,random,word
0.4646058308898149,0.8675813502754999,128,1,0,codebook,trained,phoneme
0.26675996900184923,0.9664295850762479,128,1,0,codebook,trained,word
0.7358682945542667,0.7763963772726716,128,1,0,codebook,random,phoneme
0.5449121221770302,0.9318282909932796,128,1,0,codebook,random,word
0.4612369507360546,0.8682940383944683,128,1,1,codebook,trained,phoneme
0.26431639543848445,0.9666810520372834,128,1,1,codebook,trained,word
0.7390243768368292,0.7754125737563307,128,1,1,codebook,random,phoneme
0.5505549261435898,0.9309169790281947,128,1,1,codebook,random,word
0.46042175601257956,0.8686405589660814,128,1,2,codebook,trained,phoneme
0.2636981737756629,0.966689387065522,128,1,2,codebook,trained,word
0.730291552927646,0.7785112181464237,128,1,2,codebook,random,phoneme
0.5370353742629315,0.9326542560308383,128,1,2,codebook,random,word
0.6931276233867807,0.7926853863731245,128,2,0,codebook,trained,phoneme
0.46877121978850916,0.9409639280238244,128,2,0,codebook,trained,word
0.8009562582223277,0.722303605875719,128,2,0,codebook,random,phoneme
0.6208913322164761,0.9079150445915188,128,2,0,codebook,random,word
0.6857525948242084,0.7962983122820076,128,2,1,codebook,trained,phoneme
0.4548247556544295,0.9419013940112406,128,2,1,codebook,trained,word
0.8025419413908094,0.720886956301599,128,2,1,codebook,random,phoneme
0.6252054149857459,0.9068104463900494,128,2,1,codebook,random,word
0.6949113652651581,0.7908901464318064,128,2,2,codebook,trained,phoneme
0.4667586850736726,0.9395591402274903,128,2,2,codebook,trained,word
0.8063264143443255,0.7183126851214365,128,2,2,codebook,random,phoneme
0.6245529242140889,0.905537898986043,128,2,2,codebook,random,word
0.9150755264218348,0.5999793529852022,128,3,0,codebook,trained,phoneme
0.8046056474801638,0.8271603375192916,128,3,0,codebook,trained,word
0.8801173812486583,0.6228545546887871,128,3,0,codebook,random,phoneme
0.7403810054537279,0.8505653037301565,128,3,0,codebook,random,word
0.9012880622616423,0.6129488165117195,128,3,1,codebook,trained,phoneme
0.777816261737482,0.8415140208622338,128,3,1,codebook,trained,word
0.8636463443901151,0.6529719076048005,128,3,1,codebook,random,phoneme
0.7126691974780452,0.8687881351711221,128,3,1,codebook,random,word
0.9075908821451755,0.6051365388332354,128,3,2,codebook,trained,phoneme
0.7907732983012399,0.8346107518262329,128,3,2,codebook,trained,word
0.8670577036469318,0.6420544244716473,128,3,2,codebook,random,phoneme
0.7150986691100764,0.8646059062192166,128,3,2,codebook,random,word
0.4301600082953496,0.8742333433834223,256,1,0,codebook,trained,phoneme
0.2439519300700782,0.9686992423868266,256,1,0,codebook,trained,word
0.6912017326246522,0.7994140443883401,256,1,0,codebook,random,phoneme
0.4974698160824553,0.9412077891676993,256,1,0,codebook,random,word
0.4257350784267167,0.8747806906185298,256,1,1,codebook,trained,phoneme
0.24039381849819044,0.9688874577483508,256,1,1,codebook,trained,word
0.696925332402034,0.7971575825198524,256,1,1,codebook,random,phoneme
0.49671775465288415,0.9406461108526529,256,1,1,codebook,random,word
0.42896208644704714,0.8742173869400879,256,1,2,codebook,trained,phoneme
0.2434908534537976,0.968646167406919,256,1,2,codebook,trained,word
0.7027543334865537,0.794583664932723,256,1,2,codebook,random,phoneme
0.5081510227497265,0.939432702220638,256,1,2,codebook,random,word
0.6351286459761585,0.8173018756507542,256,2,0,codebook,trained,phoneme
0.40249721829405133,0.9500634903961956,256,2,0,codebook,trained,word
0.7508310691995325,0.7622090590770327,256,2,0,codebook,random,phoneme
0.5564591479845736,0.9263678513290383,256,2,0,codebook,random,word
0.6409492640241373,0.8156468690683852,256,2,1,codebook,trained,phoneme
0.4114601584759864,0.9490423100460806,256,2,1,codebook,trained,word
0.7568481883911987,0.7575737281142861,256,2,1,codebook,random,phoneme
0.5630290889100144,0.9243033989101882,256,2,1,codebook,random,word
0.6251985879504474,0.8224528403765821,256,2,2,codebook,trained,phoneme
0.3956257714158417,0.9515072848780265,256,2,2,codebook,trained,word
0.7491331223284555,0.7595203415603085,256,2,2,codebook,random,phoneme
0.5549570989291406,0.9256431171667185,256,2,2,codebook,random,word
0.8668761567539041,0.6610971469547628,256,3,0,codebook,trained,phoneme
0.7091794602646525,0.8751927380848332,256,3,0,codebook,trained,word
0.8306546593472425,0.6893595797926164,256,3,0,codebook,random,phoneme
0.6600916443258696,0.8913823653528316,256,3,0,codebook,random,word
0.8846733934644891,0.6445050316244603,256,3,1,codebook,trained,phoneme
0.7469741621047624,0.8636607404857782,256,3,1,codebook,trained,word
0.8222587145895234,0.6988413033835393,256,3,1,codebook,random,phoneme
0.6486430859124442,0.8967556091539255,256,3,1,codebook,random,word
0.8921820782048345,0.6330584758093702,256,3,2,codebook,trained,phoneme
0.7633841361580457,0.8538705515494537,256,3,2,codebook,trained,word
0.8335341729060343,0.6880218967080605,256,3,2,codebook,random,phoneme
0.6587095902966597,0.8901443184694532,256,3,2,codebook,random,word
0.40091956352349256,0.8787811596971963,512,1,0,codebook,trained,phoneme
0.22433735867796606,0.9701996016738446,512,1,0,codebook,trained,word
0.661410777134744,0.8145345690171807,512,1,0,codebook,random,phoneme
0.4614258815050184,0.9474148879062846,512,1,0,codebook,random,word
0.4021295065441886,0.8787772861434927,512,1,1,codebook,trained,phoneme
0.2250660768521238,0.9702619901999461,512,1,1,codebook,trained,word
0.6551565999705201,0.8152974501255653,512,1,1,codebook,random,phoneme
0.45372200236155946,0.9480242812304454,512,1,1,codebook,random,word
