vmeasure,size,level,run,layer,mode,reference
0.08040720121946425,128,3,1,codebook,random,phoneme
0.07227384422524787,128,3,1,codebook,random,word
0.08730275306191031,128,3,2,codebook,trained,phoneme
0.33682647004209887,128,3,2,codebook,trained,word
0.09414903990429081,128,3,2,codebook,random,phoneme
0.07630897639773701,128,3,2,codebook,random,word
0.2548766046770161,256,1,0,codebook,trained,phoneme
0.26965581670119027,256,1,0,codebook,trained,word
0.1249449295277819,256,1,0,codebook,random,phoneme
0.11034713987588357,256,1,0,codebook,random,word
0.25678928566573167,256,1,1,codebook,trained,phoneme
0.2697076924753934,256,1,1,codebook,trained,word
0.12180340803019118,256,1,1,codebook,random,phoneme
0.10501782075605619,256,1,1,codebook,random,word
0.2546697785842953,256,1,2,codebook,trained,phoneme
0.26988839707654205,256,1,2,codebook,trained,word
0.12194606784087739,256,1,2,codebook,random,phoneme
0.10599321555754931,256,1,2,codebook,random,word
0.23819478236275626,256,2,0,codebook,trained,phoneme
0.3507999853105723,256,2,0,codebook,trained,word
0.10742476136209689,256,2,0,codebook,random,phoneme
0.10619980791744248,256,2,0,codebook,random,word
0.23713400409463056,256,2,1,codebook,trained,phoneme
0.3534234989192623,256,2,1,codebook,trained,word
0.11314263664248016,256,2,1,codebook,random,phoneme
0.10961509296580915,256,2,1,codebook,random,word
0.24552858094678154,256,2,2,codebook,trained,phoneme
0.3525222554377927,256,2,2,codebook,trained,word
0.10884021210896742,256,2,2,codebook,random,phoneme
0.10989117672464901,256,2,2,codebook,random,word
0.13018605801304828,256,3,0,codebook,trained,phoneme
0.3964626514468171,256,3,0,codebook,trained,word
0.08986933976392047,256,3,0,codebook,random,phoneme
0.08808357846386582,256,3,0,codebook,random,word
0.11233396714455025,256,3,1,codebook,trained,phoneme
0.3884541594812616,256,3,1,codebook,trained,word
0.09150110929800648,256,3,1,codebook,random,phoneme
0.09008526001132156,256,3,1,codebook,random,word
0.10113516792725338,256,3,2,codebook,trained,phoneme
0.38104337419412765,256,3,2,codebook,trained,word
0.09820617765481189,256,3,2,codebook,random,phoneme
0.09054781620559392,256,3,2,codebook,random,word
0.2616709927043493,512,1,0,codebook,trained,phoneme
0.304056394978492,512,1,0,codebook,trained,word
0.12364982727753887,512,1,0,codebook,random,phoneme
0.1242486310536128,512,1,0,codebook,random,word
0.2635429877804218,512,1,1,codebook,trained,phoneme
0.30656526629887865,512,1,1,codebook,trained,word
0.12758531187229138,512,1,1,codebook,random,phoneme
0.11817387483977403,512,1,1,codebook,random,word
0.263437982321637,512,1,2,codebook,trained,phoneme
0.3052027341728171,512,1,2,codebook,trained,word
0.1219524878726801,512,1,2,codebook,random,phoneme
0.11486059730149376,512,1,2,codebook,random,word
0.2609331868807746,512,2,0,codebook,trained,phoneme
0.39547353096238613,512,2,0,codebook,trained,word
0.11047163831201352,512,2,0,codebook,random,phoneme
0.11661573791222084,512,2,0,codebook,random,word
0.2619790145610916,512,2,1,codebook,trained,phoneme
0.39122697569566195,512,2,1,codebook,trained,word
0.11449500454309894,512,2,1,codebook,random,phoneme
0.12737673882752165,512,2,1,codebook,random,word
0.25800194393686227,512,2,2,codebook,trained,phoneme
