size,level,run,mode,layer,input,within,abx
256,3,1,trained,codebook,fragments,True,0.6881214535723355
256,3,1,random,codebook,triplets,True,0.7394510232969971
256,3,1,random,codebook,fragments,True,0.7722870685076053
256,3,2,trained,codebook,triplets,True,0.7291310600205732
256,3,2,trained,codebook,fragments,True,0.6515076754178073
256,3,2,random,codebook,triplets,True,0.7747876014694834
256,3,2,random,codebook,fragments,True,0.7257285400766896
512,1,0,trained,codebook,triplets,True,0.8305259828082863
512,1,0,trained,codebook,fragments,True,0.8270436729522026
512,1,0,random,codebook,triplets,True,0.7913727463235891
512,1,0,random,codebook,fragments,True,0.7601661649239536
512,1,1,trained,codebook,triplets,True,0.8450117547870356
512,1,1,trained,codebook,fragments,True,0.8468423721340388
512,1,1,random,codebook,triplets,True,0.7737521539183524
512,1,1,random,codebook,fragments,True,0.7902725099786504
512,1,2,trained,codebook,triplets,True,0.8404796459782414
512,1,2,trained,codebook,fragments,True,0.8224228267434005
512,1,2,random,codebook,triplets,True,0.7853511224695682
512,1,2,random,codebook,fragments,True,0.7759682580978176
512,2,0,trained,codebook,triplets,True,0.8021836633681202
512,2,0,trained,codebook,fragments,True,0.783318331188749
512,2,0,random,codebook,triplets,True,0.7899978702893029
512,2,0,random,codebook,fragments,True,0.7650563000912727
512,2,1,trained,codebook,triplets,True,0.8044313846958978
512,2,1,trained,codebook,fragments,True,0.7624340149071325
512,2,1,random,codebook,triplets,True,0.7584118984341364
512,2,1,random,codebook,fragments,True,0.7338976228893116
512,2,2,trained,codebook,triplets,True,0.8246907680334646
512,2,2,trained,codebook,fragments,True,0.7608788813946293
512,2,2,random,codebook,triplets,True,0.7594346465367064
512,2,2,random,codebook,fragments,True,0.7519451016136773
512,3,0,trained,codebook,triplets,True,0.7258587919051402
512,3,0,trained,codebook,fragments,True,0.6422096302414284
512,3,0,random,codebook,triplets,True,0.7547219823975442
512,3,0,random,codebook,fragments,True,0.743970478268985
512,3,1,trained,codebook,triplets,True,0.7565431704687322
512,3,1,trained,codebook,fragments,True,0.6709319021624681
512,3,1,random,codebook,triplets,True,0.7226623945221792
512,3,1,random,codebook,fragments,True,0.7444337505593724
512,3,2,trained,codebook,triplets,True,0.7548052893839411
512,3,2,trained,codebook,fragments,True,0.7020770172547134
512,3,2,random,codebook,triplets,True,0.7707134069201016
512,3,2,random,codebook,fragments,True,0.7707386094285263
1024,1,0,trained,codebook,triplets,True,0.8282256120821195
1024,1,0,trained,codebook,fragments,True,0.8496647500951638
1024,1,0,random,codebook,triplets,True,0.7996958471373264
1024,1,0,random,codebook,fragments,True,0.7976769880841947
1024,1,1,trained,codebook,triplets,True,0.8218469894909501
1024,1,1,trained,codebook,fragments,True,0.8520261133156967
1024,1,1,random,codebook,triplets,True,0.7805103125737489
1024,1,1,random,codebook,fragments,True,0.8084848511056845
1024,1,2,trained,codebook,triplets,True,0.8293467068806488
1024,1,2,trained,codebook,fragments,True,0.8603259428593679
1024,1,2,random,codebook,triplets,True,0.7733446287378871
1024,1,2,random,codebook,fragments,True,0.7772585930466234
1024,2,0,trained,codebook,triplets,True,0.7774029531988332
1024,2,0,trained,codebook,fragments,True,0.7371490351271062
1024,2,0,random,codebook,triplets,True,0.751464519233714
1024,2,0,random,codebook,fragments,True,0.7739882687060212
1024,2,1,trained,codebook,triplets,True,0.8123128962173906
1024,2,1,trained,codebook,fragments,True,0.7519447802077672
1024,2,1,random,codebook,triplets,True,0.7486108082339356
