epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,random,rnn_bottom1,64,3,1,phoneme,complete,1.3108394237526656e-05,mean
,random,rnn_bottom2,64,3,1,phoneme,complete,0.0009253113348692112,mean
,random,rnn_top0,64,3,1,phoneme,complete,-0.0045511532870569525,mean
,random,mfcc,64,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,64,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,64,3,2,phoneme,complete,0.03962498466146196,mean
,trained,rnn_bottom1,64,3,2,phoneme,complete,0.18841139656933303,mean
,trained,rnn_bottom2,64,3,2,phoneme,complete,0.1563586886947198,mean
,trained,rnn_top0,64,3,2,phoneme,complete,0.17628201416430278,mean
,random,rnn_bottom0,64,3,2,phoneme,complete,-0.004176817132268256,mean
,random,rnn_bottom1,64,3,2,phoneme,complete,-0.004330883414944971,mean
,random,rnn_bottom2,64,3,2,phoneme,complete,-0.005115786342072489,mean
,random,rnn_top0,64,3,2,phoneme,complete,-0.007329732989522695,mean
,random,mfcc,128,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,1,0,phoneme,complete,0.03625131748276847,mean
,trained,rnn_top0,128,1,0,phoneme,complete,0.11864109305084854,mean
,trained,rnn_top1,128,1,0,phoneme,complete,0.19639469264434925,mean
,trained,rnn_top2,128,1,0,phoneme,complete,0.2557221317599243,mean
,random,rnn_bottom0,128,1,0,phoneme,complete,-0.004191365493974991,mean
,random,rnn_top0,128,1,0,phoneme,complete,-0.0012761726085463124,mean
,random,rnn_top1,128,1,0,phoneme,complete,-0.0008391799349400323,mean
,random,rnn_top2,128,1,0,phoneme,complete,-3.93345072815551e-05,mean
,random,mfcc,128,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,1,1,phoneme,complete,0.038792656692228145,mean
,trained,rnn_top0,128,1,1,phoneme,complete,0.12164676990961874,mean
,trained,rnn_top1,128,1,1,phoneme,complete,0.199902371050847,mean
,trained,rnn_top2,128,1,1,phoneme,complete,0.2542747344902157,mean
,random,rnn_bottom0,128,1,1,phoneme,complete,-0.0055247414835554115,mean
,random,rnn_top0,128,1,1,phoneme,complete,-0.008513220039957156,mean
,random,rnn_top1,128,1,1,phoneme,complete,-0.008388000695703928,mean
,random,rnn_top2,128,1,1,phoneme,complete,-0.008289502794911169,mean
,random,mfcc,128,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,1,2,phoneme,complete,0.03469718300303577,mean
,trained,rnn_top0,128,1,2,phoneme,complete,0.1242498795725312,mean
,trained,rnn_top1,128,1,2,phoneme,complete,0.18682457612903888,mean
,trained,rnn_top2,128,1,2,phoneme,complete,0.2548339932506585,mean
,random,rnn_bottom0,128,1,2,phoneme,complete,-0.0005158541728922098,mean
,random,rnn_top0,128,1,2,phoneme,complete,-5.5461942131064715e-05,mean
,random,rnn_top1,128,1,2,phoneme,complete,0.0006689764359238596,mean
,random,rnn_top2,128,1,2,phoneme,complete,0.001016055925252525,mean
,random,mfcc,128,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,2,0,phoneme,complete,0.04711590739434494,mean
,trained,rnn_bottom1,128,2,0,phoneme,complete,0.13409417847174002,mean
,trained,rnn_top0,128,2,0,phoneme,complete,0.20510461455206971,mean
,trained,rnn_top1,128,2,0,phoneme,complete,0.23543642895257907,mean
,random,rnn_bottom0,128,2,0,phoneme,complete,-0.002444149524138994,mean
,random,rnn_bottom1,128,2,0,phoneme,complete,-0.001633911939459421,mean
,random,rnn_top0,128,2,0,phoneme,complete,-0.009273356309730923,mean
,random,rnn_top1,128,2,0,phoneme,complete,-0.008526851885413713,mean
,random,mfcc,128,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,2,1,phoneme,complete,0.04695027933149218,mean
,trained,rnn_bottom1,128,2,1,phoneme,complete,0.11497878407400697,mean
,trained,rnn_top0,128,2,1,phoneme,complete,0.20455432288570902,mean
,trained,rnn_top1,128,2,1,phoneme,complete,0.23041749632105799,mean
,random,rnn_bottom0,128,2,1,phoneme,complete,-0.003367467336028469,mean
,random,rnn_bottom1,128,2,1,phoneme,complete,-0.0022793108018384707,mean
,random,rnn_top0,128,2,1,phoneme,complete,-0.007338724994640163,mean
,random,rnn_top1,128,2,1,phoneme,complete,-0.007264514145707639,mean
,random,mfcc,128,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,2,2,phoneme,complete,0.04987080911486808,mean
,trained,rnn_bottom1,128,2,2,phoneme,complete,0.11941714724929268,mean
,trained,rnn_top0,128,2,2,phoneme,complete,0.20103221351621367,mean
,trained,rnn_top1,128,2,2,phoneme,complete,0.2190136734242033,mean
,random,rnn_bottom0,128,2,2,phoneme,complete,-0.0011074305332877362,mean
,random,rnn_bottom1,128,2,2,phoneme,complete,-0.0007555805123135383,mean
,random,rnn_top0,128,2,2,phoneme,complete,-0.001923828114783668,mean
,random,rnn_top1,128,2,2,phoneme,complete,-0.0012952368751842284,mean
,random,mfcc,128,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,3,0,phoneme,complete,0.04035120829986581,mean
,trained,rnn_bottom1,128,3,0,phoneme,complete,0.16586603780009754,mean
,trained,rnn_bottom2,128,3,0,phoneme,complete,0.15035375009973256,mean
,trained,rnn_top0,128,3,0,phoneme,complete,0.16952897347304086,mean
,random,rnn_bottom0,128,3,0,phoneme,complete,-0.0021551529357941436,mean
,random,rnn_bottom1,128,3,0,phoneme,complete,-0.0027923906447219356,mean
,random,rnn_bottom2,128,3,0,phoneme,complete,-0.002858354040733134,mean
,random,rnn_top0,128,3,0,phoneme,complete,-0.0005801398577546023,mean
,random,mfcc,128,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,3,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,3,1,phoneme,complete,0.04149116060072617,mean
,trained,rnn_bottom1,128,3,1,phoneme,complete,0.15404568091806692,mean
