mean_duration,mean_duration_labels,size,level,run,layer,mode,reference
6.744340528189054,5.336927296192729,64,1,1,codebook,random,phoneme
5.880415223738711,15.113261054514517,64,1,1,codebook,random,word
2.229346721251636,5.336927296192729,64,1,2,codebook,trained,phoneme
1.9429924810764878,15.113261054514517,64,1,2,codebook,trained,word
6.019256428918001,5.336927296192729,64,1,2,codebook,random,phoneme
5.247345300310536,15.113261054514517,64,1,2,codebook,random,word
4.352514869939424,5.336927296192729,64,2,0,codebook,trained,phoneme
3.7944562502738464,15.113261054514517,64,2,0,codebook,trained,word
11.976046820320985,5.336927296192729,64,2,0,codebook,random,phoneme
10.442332619901727,15.113261054514517,64,2,0,codebook,random,word
4.577586107491669,5.336927296192729,64,2,1,codebook,trained,phoneme
3.990386996814865,15.113261054514517,64,2,1,codebook,trained,word
18.506887951329805,5.336927296192729,64,2,1,codebook,random,phoneme
16.135055195863803,15.113261054514517,64,2,1,codebook,random,word
4.584961337899253,5.336927296192729,64,2,2,codebook,trained,phoneme
3.996463903550518,15.113261054514517,64,2,2,codebook,trained,word
9.683904961701712,5.336927296192729,64,2,2,codebook,random,phoneme
8.441350992409197,15.113261054514517,64,2,2,codebook,random,word
19.263022539243515,5.336927296192729,64,3,0,codebook,trained,phoneme
16.794506932997187,15.113261054514517,64,3,0,codebook,trained,word
13.126626436306521,5.336927296192729,64,3,0,codebook,random,phoneme
11.446247129380277,15.113261054514517,64,3,0,codebook,random,word
17.733494148128294,5.336927296192729,64,3,1,codebook,trained,phoneme
15.460300812282425,15.113261054514517,64,3,1,codebook,trained,word
11.569771508510142,5.336927296192729,64,3,1,codebook,random,phoneme
10.085407750312982,15.113261054514517,64,3,1,codebook,random,word
20.29923554828318,5.336927296192729,64,3,2,codebook,trained,phoneme
17.6966716902092,15.113261054514517,64,3,2,codebook,trained,word
13.940198402247388,5.336927296192729,64,3,2,codebook,random,phoneme
12.153869094609055,15.113261054514517,64,3,2,codebook,random,word
2.009730167569483,5.336927296192729,128,1,0,codebook,trained,phoneme
1.751613678022881,15.113261054514517,128,1,0,codebook,trained,word
4.647576009459475,5.336927296192729,128,1,0,codebook,random,phoneme
4.051147560155542,15.113261054514517,128,1,0,codebook,random,word
1.988100901947626,5.336927296192729,128,1,1,codebook,trained,phoneme
1.7328275969015514,15.113261054514517,128,1,1,codebook,trained,word
4.687084548449178,5.336927296192729,128,1,1,codebook,random,phoneme
4.0861033783146175,15.113261054514517,128,1,1,codebook,random,word
1.9791852067893618,5.336927296192729,128,1,2,codebook,trained,phoneme
1.7250611907483075,15.113261054514517,128,1,2,codebook,trained,word
4.564270603384842,5.336927296192729,128,1,2,codebook,random,phoneme
3.9788596501303686,15.113261054514517,128,1,2,codebook,random,word
4.0496383723183955,5.336927296192729,128,2,0,codebook,trained,phoneme
3.529579287366394,15.113261054514517,128,2,0,codebook,trained,word
6.538288603592104,5.336927296192729,128,2,0,codebook,random,phoneme
5.699535189831764,15.113261054514517,128,2,0,codebook,random,word
3.9466531460327876,5.336927296192729,128,2,1,codebook,trained,phoneme
3.4401261234420777,15.113261054514517,128,2,1,codebook,trained,word
6.606786825769301,5.336927296192729,128,2,1,codebook,random,phoneme
5.759999667439869,15.113261054514517,128,2,1,codebook,random,word
4.09654667127592,5.336927296192729,128,2,2,codebook,trained,phoneme
3.5707283635014226,15.113261054514517,128,2,2,codebook,trained,word
6.7260574536397755,5.336927296192729,128,2,2,codebook,random,phoneme
5.86250169239101,15.113261054514517,128,2,2,codebook,random,word
15.10068850089391,5.336927296192729,128,3,0,codebook,trained,phoneme
13.163227694178447,15.113261054514517,128,3,0,codebook,trained,word
11.496394544032897,5.336927296192729,128,3,0,codebook,random,phoneme
10.022234438063276,15.113261054514517,128,3,0,codebook,random,word
13.157298157231871,5.336927296192729,128,3,1,codebook,trained,phoneme
