rsa,mode,layer,reference,size,level,run,input
0.02695397518892228,random,codebook,phoneme,128,2,0,complete
0.01941066338373321,random,codebook,word,128,2,0,complete
0.12656655756387195,trained,codebook,phoneme,128,2,0,trigram
0.07905291337974753,trained,codebook,word,128,2,0,trigram
0.03719978478532771,random,codebook,phoneme,128,2,0,trigram
0.01151155491159572,random,codebook,word,128,2,0,trigram
0.25566151701256007,trained,codebook,phoneme,128,2,1,complete
0.13404911481199436,trained,codebook,word,128,2,1,complete
0.015265299511728024,random,codebook,phoneme,128,2,1,complete
0.030839378005083427,random,codebook,word,128,2,1,complete
0.127413270819088,trained,codebook,phoneme,128,2,1,trigram
0.07871347951917,trained,codebook,word,128,2,1,trigram
0.042672026409873595,random,codebook,phoneme,128,2,1,trigram
0.012830404843928316,random,codebook,word,128,2,1,trigram
0.2545060183796973,trained,codebook,phoneme,128,2,2,complete
0.13001623283716435,trained,codebook,word,128,2,2,complete
0.025021095085122756,random,codebook,phoneme,128,2,2,complete
0.024470340996245496,random,codebook,word,128,2,2,complete
0.12452048414706993,trained,codebook,phoneme,128,2,2,trigram
0.07908149742853707,trained,codebook,word,128,2,2,trigram
0.03728717853219234,random,codebook,phoneme,128,2,2,trigram
0.011696429991189259,random,codebook,word,128,2,2,trigram
0.200529141131433,trained,codebook,phoneme,128,3,0,complete
0.12773459678885418,trained,codebook,word,128,3,0,complete
0.0035080518627304083,random,codebook,phoneme,128,3,0,complete
0.026027751093201455,random,codebook,word,128,3,0,complete
0.06308520831949592,trained,codebook,phoneme,128,3,0,trigram
0.034665085192699806,trained,codebook,word,128,3,0,trigram
0.03756336930309615,random,codebook,phoneme,128,3,0,trigram
0.01067354328631893,random,codebook,word,128,3,0,trigram
0.2287629227677199,trained,codebook,phoneme,128,3,1,complete
0.1449334161005806,trained,codebook,word,128,3,1,complete
0.004146411822387612,random,codebook,phoneme,128,3,1,complete
0.02348700452944382,random,codebook,word,128,3,1,complete
0.06771678132465611,trained,codebook,phoneme,128,3,1,trigram
0.03603008073130602,trained,codebook,word,128,3,1,trigram
0.033575339474097354,random,codebook,phoneme,128,3,1,trigram
0.008835626071470865,random,codebook,word,128,3,1,trigram
0.1959702878199724,trained,codebook,phoneme,128,3,2,complete
0.12234614626840076,trained,codebook,word,128,3,2,complete
0.015927393714377108,random,codebook,phoneme,128,3,2,complete
0.024264845048847298,random,codebook,word,128,3,2,complete
0.062443574930487036,trained,codebook,phoneme,128,3,2,trigram
0.035220550962958765,trained,codebook,word,128,3,2,trigram
0.04694856817872804,random,codebook,phoneme,128,3,2,trigram
0.01500003536440655,random,codebook,word,128,3,2,trigram
0.23254699473376186,trained,codebook,phoneme,256,1,0,complete
0.07275003360728442,trained,codebook,word,256,1,0,complete
0.037527849085900844,random,codebook,phoneme,256,1,0,complete
0.016762948745805112,random,codebook,word,256,1,0,complete
0.1556818023035978,trained,codebook,phoneme,256,1,0,trigram
0.09141912373273876,trained,codebook,word,256,1,0,trigram
0.0667665002638529,random,codebook,phoneme,256,1,0,trigram
0.02155101208588033,random,codebook,word,256,1,0,trigram
0.24713203322482025,trained,codebook,phoneme,256,1,1,complete
0.0753041826516209,trained,codebook,word,256,1,1,complete
0.04640780317846318,random,codebook,phoneme,256,1,1,complete
0.006835050868245142,random,codebook,word,256,1,1,complete
0.1619103736649163,trained,codebook,phoneme,256,1,1,trigram
0.09645431618973677,trained,codebook,word,256,1,1,trigram
0.06182863278169697,random,codebook,phoneme,256,1,1,trigram
0.01989557088681085,random,codebook,word,256,1,1,trigram
0.2510070748740026,trained,codebook,phoneme,256,1,2,complete
0.08599439855988802,trained,codebook,word,256,1,2,complete
0.034840778404276275,random,codebook,phoneme,256,1,2,complete
4.198586661812469e-05,random,codebook,word,256,1,2,complete
0.15670177737702012,trained,codebook,phoneme,256,1,2,trigram
0.09406101219876203,trained,codebook,word,256,1,2,trigram
0.055046322903472056,random,codebook,phoneme,256,1,2,trigram
0.017751366719270707,random,codebook,word,256,1,2,trigram
0.2837747858509062,trained,codebook,phoneme,256,2,0,complete
0.1478542782526759,trained,codebook,word,256,2,0,complete
0.037671538808311866,random,codebook,phoneme,256,2,0,complete
0.013325906886979877,random,codebook,word,256,2,0,complete
0.13773978197342732,trained,codebook,phoneme,256,2,0,trigram
0.09915650269985062,trained,codebook,word,256,2,0,trigram
0.05205560747653559,random,codebook,phoneme,256,2,0,trigram
0.01662732828066423,random,codebook,word,256,2,0,trigram
0.29116689754859854,trained,codebook,phoneme,256,2,1,complete
0.15764667796526038,trained,codebook,word,256,2,1,complete
0.038013589159446956,random,codebook,phoneme,256,2,1,complete
0.014237197196439661,random,codebook,word,256,2,1,complete
0.12947247332698067,trained,codebook,phoneme,256,2,1,trigram
0.0965418126910224,trained,codebook,word,256,2,1,trigram
0.05305295711160181,random,codebook,phoneme,256,2,1,trigram
0.017543372730269093,random,codebook,word,256,2,1,trigram
0.2923358423123438,trained,codebook,phoneme,256,2,2,complete
0.1462230140776356,trained,codebook,word,256,2,2,complete
